0.23209D+00,0.27931D+01
0.23383D+00,0.27912D+01
0.23556D+00,0.27893D+01
0.23729D+00,0.27874D+01
0.23902D+00,0.27855D+01
0.24076D+00,0.27837D+01
0.24249D+00,0.27818D+01
0.24422D+00,0.27799D+01
0.24595D+00,0.27780D+01
0.24768D+00,0.27761D+01
0.24942D+00,0.27743D+01
0.25115D+00,0.27724D+01
0.25288D+00,0.27705D+01
0.25461D+00,0.27686D+01
0.25634D+00,0.27667D+01
0.25808D+00,0.27648D+01
0.25981D+00,0.27630D+01
0.26154D+00,0.27611D+01
0.26327D+00,0.27592D+01
0.26500D+00,0.27573D+01
0.26674D+00,0.27554D+01
0.26847D+00,0.27536D+01
0.27020D+00,0.27517D+01
0.27193D+00,0.27498D+01
0.27366D+00,0.27479D+01
0.27540D+00,0.27460D+01
0.27713D+00,0.27441D+01
0.27886D+00,0.27423D+01
0.28059D+00,0.27404D+01
0.28232D+00,0.27385D+01
0.28406D+00,0.27366D+01
0.28579D+00,0.27347D+01
0.28752D+00,0.27328D+01
0.28925D+00,0.27310D+01
0.29098D+00,0.27291D+01
0.29272D+00,0.27272D+01
0.29445D+00,0.27253D+01
0.29618D+00,0.27234D+01
0.29791D+00,0.27216D+01
0.29964D+00,0.27197D+01
0.30138D+00,0.27178D+01
0.30311D+00,0.27159D+01
0.30484D+00,0.27140D+01
0.30657D+00,0.27121D+01
0.30831D+00,0.27103D+01
0.31004D+00,0.27084D+01
0.31177D+00,0.27065D+01
0.31350D+00,0.27046D+01
0.31523D+00,0.27027D+01
0.31697D+00,0.27009D+01
0.31870D+00,0.26990D+01
0.32043D+00,0.26971D+01
0.32216D+00,0.26952D+01
0.32389D+00,0.26933D+01
0.32563D+00,0.26914D+01
0.32736D+00,0.26896D+01
0.32909D+00,0.26877D+01
0.33082D+00,0.26858D+01
0.33255D+00,0.26839D+01
0.33429D+00,0.26820D+01
0.33602D+00,0.26802D+01
0.33775D+00,0.26783D+01
0.33948D+00,0.26764D+01
0.34121D+00,0.26745D+01
0.34295D+00,0.26726D+01
0.34468D+00,0.26707D+01
0.34641D+00,0.26689D+01
0.34814D+00,0.26670D+01
0.34987D+00,0.26651D+01
0.35161D+00,0.26632D+01
0.35334D+00,0.26613D+01
0.35507D+00,0.26595D+01
0.35680D+00,0.26576D+01
0.35853D+00,0.26557D+01
0.36027D+00,0.26538D+01
0.36200D+00,0.26519D+01
0.36373D+00,0.26500D+01
0.36546D+00,0.26482D+01
0.36719D+00,0.26463D+01
0.36893D+00,0.26444D+01
0.37066D+00,0.26425D+01
0.37239D+00,0.26406D+01
0.37412D+00,0.26388D+01
0.37586D+00,0.26369D+01
0.37759D+00,0.26350D+01
0.37932D+00,0.26331D+01
0.38105D+00,0.26312D+01
0.38278D+00,0.26293D+01
0.38452D+00,0.26275D+01
0.38625D+00,0.26256D+01
0.38798D+00,0.26237D+01
0.38971D+00,0.26218D+01
0.39144D+00,0.26199D+01
0.39318D+00,0.26181D+01
0.39491D+00,0.26162D+01
0.39664D+00,0.26143D+01
0.39837D+00,0.26124D+01
0.40010D+00,0.26105D+01
0.40184D+00,0.26086D+01
0.40357D+00,0.26068D+01
0.40530D+00,0.26049D+01
0.40703D+00,0.26030D+01
0.40876D+00,0.26011D+01
0.41050D+00,0.25992D+01
0.41223D+00,0.25974D+01
0.41396D+00,0.25955D+01
0.41569D+00,0.25936D+01
0.41742D+00,0.25917D+01
0.41916D+00,0.25898D+01
0.42089D+00,0.25879D+01
0.42262D+00,0.25861D+01
0.42435D+00,0.25842D+01
0.42608D+00,0.25823D+01
0.42782D+00,0.25804D+01
0.42955D+00,0.25785D+01
0.43128D+00,0.25767D+01
0.43301D+00,0.25748D+01
0.43474D+00,0.25836D+01
0.43648D+00,0.25828D+01
0.43821D+00,0.25821D+01
0.43994D+00,0.25813D+01
0.44167D+00,0.25805D+01
0.44341D+00,0.25797D+01
0.44514D+00,0.25789D+01
0.44687D+00,0.25781D+01
0.44860D+00,0.25774D+01
0.45033D+00,0.25766D+01
0.45207D+00,0.25758D+01
