0.27500D-01,0.39990D+00,0.24197D-03,0.19538D-02,0.71223D-03,0.19137D-02,0.77483D-04,0.57829D-03,0.20102D-01,0.23488D-03,0.10933D-02,0.15165D-02,0.13625D-02,0.25459D-03,0.14364D-02,0.41116D-02,0.36696D-03,0.28899D-02,0.26717D-02,0.29792D-02,0.31537D-03,0.24775D-02,0.38788D-02
0.30000D-01,0.43204D+00,0.34191D-03,0.27579D-02,0.10384D-02,0.27020D-02,0.11336D-03,0.84579D-03,0.28470D-01,0.34919D-03,0.16120D-02,0.22363D-02,0.20080D-02,0.37572D-03,0.21155D-02,0.59311D-02,0.53300D-03,0.41923D-02,0.38784D-02,0.43266D-02,0.45895D-03,0.35995D-02,0.56395D-02
0.32500D-01,0.46287D+00,0.46447D-03,0.37437D-02,0.14534D-02,0.36685D-02,0.15918D-03,0.11875D-02,0.38604D-01,0.49756D-03,0.22784D-02,0.31622D-02,0.28367D-02,0.53167D-03,0.29879D-02,0.82190D-02,0.74344D-03,0.58402D-02,0.54056D-02,0.60332D-02,0.64131D-03,0.50210D-02,0.78695D-02
0.35000D-01,0.49232D+00,0.61013D-03,0.49152D-02,0.19643D-02,0.48173D-02,0.21582D-03,0.16101D-02,0.50431D-01,0.68360D-03,0.31058D-02,0.43135D-02,0.38647D-02,0.72575D-03,0.40713D-02,0.11005D-01,0.10017D-02,0.78588D-02,0.72768D-02,0.81256D-02,0.86556D-03,0.67648D-02,0.10603D-01
0.37500D-01,0.52036D+00,0.77872D-03,0.62714D-02,0.25761D-02,0.61475D-02,0.28388D-03,0.21182D-02,0.63799D-01,0.91014D-03,0.41035D-02,0.57041D-02,0.51030D-02,0.96038D-03,0.53786D-02,0.14309D-01,0.13101D-02,0.10265D-01,0.95071D-02,0.10621D-01,0.11339D-02,0.88457D-02,0.13860D-01
0.40000D-01,0.54696D+00,0.96957D-03,0.78073D-02,0.32914D-02,0.76541D-02,0.36374D-03,0.27147D-02,0.78505D-01,0.11791D-02,0.52769D-02,0.73427D-02,0.65578D-02,0.12371D-02,0.69175D-02,0.18136D-01,0.16700D-02,0.13066D-01,0.12104D-01,0.13529D-01,0.14476D-02,0.11272D-01,0.17651D-01
0.42500D-01,0.57215D+00,0.11816D-02,0.95146D-02,0.41110D-02,0.93289D-02,0.45554D-03,0.34011D-02,0.94310D-01,0.14918D-02,0.66278D-02,0.92331D-02,0.82307D-02,0.15567D-02,0.86916D-02,0.22486D-01,0.20818D-02,0.16265D-01,0.15070D-01,0.16851D-01,0.18073D-02,0.14045D-01,0.21975D-01
0.45000D-01,0.59596D+00,0.14134D-02,0.11383D-01,0.50340D-02,0.11162D-01,0.55926D-03,0.41773D-02,0.11096D+00,0.18485D-02,0.81550D-02,0.11375D-01,0.10119D-01,0.19192D-02,0.10700D-01,0.27349D-01,0.25453D-02,0.19856D-01,0.18400D-01,0.20581D-01,0.22129D-02,0.17163D-01,0.26824D-01
0.47500D-01,0.61843D+00,0.16636D-02,0.13400D-01,0.60581D-02,0.13141D-01,0.67469D-03,0.50419D-02,0.12821D+00,0.22491D-02,0.98545D-02,0.13764D-01,0.12218D-01,0.23241D-02,0.12940D-01,0.32709D-01,0.30595D-02,0.23831D-01,0.22084D-01,0.24710D-01,0.26638D-02,0.20618D-01,0.32181D-01
0.50000D-01,0.63962D+00,0.19304D-02,0.15555D-01,0.71802D-02,0.15255D-01,0.80153D-03,0.59929D-02,0.14583D+00,0.26930D-02,0.11720D-01,0.16393D-01,0.14520D-01,0.27703D-02,0.15404D-01,0.38546D-01,0.36232D-02,0.28176D-01,0.26113D-01,0.29224D-01,0.31591D-02,0.24399D-01,0.38027D-01
0.52500D-01,0.65959D+00,0.22125D-02,0.17834D-01,0.83961D-02,0.17491D-01,0.93935D-03,0.70274D-02,0.16360D+00,0.31791D-02,0.13745D-01,0.19254D-01,0.17014D-01,0.32564D-02,0.18083D-01,0.44839D-01,0.42348D-02,0.32876D-01,0.30472D-01,0.34106D-01,0.36974D-02,0.28494D-01,0.44337D-01
0.55000D-01,0.67839D+00,0.25083D-02,0.20226D-01,0.97014D-02,0.19838D-01,0.10877D-02,0.81419D-02,0.18134D+00,0.37060D-02,0.15921D-01,0.22336D-01,0.19690D-01,0.37809D-02,0.20970D-01,0.51562D-01,0.48925D-02,0.37915D-01,0.35145D-01,0.39339D-01,0.42775D-02,0.32891D-01,0.51085D-01
0.57500D-01,0.69610D+00,0.28163D-02,0.22719D-01,0.11091D-01,0.22284D-01,0.12461D-02,0.93329D-02,0.19892D+00,0.42722D-02,0.18238D-01,0.25626D-01,0.22535D-01,0.43420D-02,0.24052D-01,0.58690D-01,0.55942D-02,0.43275D-01,0.40116D-01,0.44903D-01,0.48977D-02,0.37573D-01,0.58245D-01
0.60000D-01,0.71278D+00,0.31352D-02,0.25303D-01,0.12561D-01,0.24819D-01,0.14139D-02,0.10596D-01,0.21620D+00,0.48760D-02,0.20688D-01,0.29115D-01,0.25539D-01,0.49379D-02,0.27319D-01,0.66198D-01,0.63382D-02,0.48937D-01,0.45369D-01,0.50779D-01,0.55564D-02,0.42527D-01,0.65789D-01
0.62500D-01,0.72850D+00,0.34640D-02,0.27968D-01,0.14106D-01,0.27433D-01,0.15908D-02,0.11929D-01,0.23310D+00,0.55157D-02,0.23261D-01,0.32788D-01,0.28688D-01,0.55666D-02,0.30760D-01,0.74061D-01,0.71225D-02,0.54885D-01,0.50889D-01,0.56948D-01,0.62521D-02,0.47736D-01,0.73689D-01
0.65000D-01,0.74330D+00,0.38015D-02,0.30706D-01,0.15721D-01,0.30119D-01,0.17761D-02,0.13325D-01,0.24955D+00,0.61896D-02,0.25947D-01,0.36635D-01,0.31972D-01,0.62264D-02,0.34364D-01,0.82253D-01,0.79451D-02,0.61100D-01,0.56657D-01,0.63390D-01,0.69832D-02,0.53188D-01,0.81920D-01
0.67500D-01,0.75725D+00,0.41468D-02,0.33508D-01,0.17401D-01,0.32867D-01,0.19693D-02,0.14783D-01,0.26550D+00,0.68959D-02,0.28738D-01,0.40643D-01,0.35378D-01,0.69154D-02,0.38120D-01,0.90750D-01,0.88041D-02,0.67564D-01,0.62660D-01,0.70088D-01,0.77482D-02,0.58866D-01,0.90454D-01
0.70000D-01,0.77039D+00,0.44989D-02,0.36366D-01,0.19143D-01,0.35671D-01,0.21700D-02,0.16298D-01,0.28091D+00,0.76330D-02,0.31625D-01,0.44800D-01,0.38895D-01,0.76319D-02,0.42018D-01,0.99530D-01,0.96979D-02,0.74262D-01,0.68882D-01,0.77022D-01,0.85455D-02,0.64757D-01,0.99268D-01
0.72500D-01,0.78279D+00,0.48573D-02,0.39276D-01,0.20941D-01,0.38525D-01,0.23777D-02,0.17867D-01,0.29578D+00,0.83991D-02,0.34599D-01,0.49097D-01,0.42514D-01,0.83742D-02,0.46047D-01,0.10857D+00,0.10625D-01,0.81177D-01,0.75308D-01,0.84177D-01,0.93737D-02,0.70847D-01,0.10834D+00
