"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.067653	0	0	1	0.219	0.219	2.15	0.5
0.067487	0	0	1	0.22	0.22	2.15	0.5
0.067321	0	0	1	0.221	0.221	2.15	0.5
0.067156	0	0	1	0.222	0.222	2.15	0.5
0.06699	0	0	1	0.223	0.223	2.15	0.5
0.066825	0	0	1	0.224	0.224	2.15	0.5
0.066659	0	0	1	0.225	0.225	2.15	0.5
0.066493	0	0	1	0.226	0.226	2.15	0.5
0.066328	0	0	1	0.227	0.227	2.15	0.5
0.066162	0	0	1	0.228	0.228	2.15	0.5
0.065997	0	0	1	0.229	0.229	2.15	0.5
0.065831	0	0	1	0.23	0.23	2.15	0.5
0.065677	0	0	1	0.231	0.231	2.15	0.5
0.065558	0	0	1	0.232	0.232	2.15	0.5
0.065439	0	0	1	0.233	0.233	2.15	0.5
0.065318	0	0	1	0.234	0.234	2.15	0.5
0.065178	0	0	1	0.235	0.235	2.15	0.5
0.065038	0	0	1	0.236	0.236	2.15	0.5
0.064898	0	0	1	0.237	0.237	2.15	0.5
0.064758	0	0	1	0.238	0.238	2.15	0.5
0.064617	0	0	1	0.239	0.239	2.15	0.5
0.064477	0	0	1	0.24	0.24	2.15	0.5
0.064337	0	0	1	0.241	0.241	2.15	0.5
0.064197	0	0	1	0.242	0.242	2.15	0.5
0.064055	0	0	1	0.243	0.243	2.15	0.5
0.063902	0	0	1	0.244	0.244	2.15	0.5
0.06375	0	0	1	0.245	0.245	2.15	0.5
0.063597	0	0	1	0.246	0.246	2.15	0.5
0.063444	0	0	1	0.247	0.247	2.15	0.5
0.063291	0	0	1	0.248	0.248	2.15	0.5
0.063139	0	0	1	0.249	0.249	2.15	0.5
0.062986	0	0	1	0.25	0.25	2.15	0.5
0.062833	0	0	1	0.251	0.251	2.15	0.5
0.06268	0	0	1	0.252	0.252	2.15	0.5
0.062527	0	0	1	0.253	0.253	2.15	0.5
0.062375	0	0	1	0.254	0.254	2.15	0.5
0.062222	0	0	1	0.255	0.255	2.15	0.5
0.062069	0	0	1	0.256	0.256	2.15	0.5
0.061916	0	0	1	0.257	0.257	2.15	0.5
0.061764	0	0	1	0.258	0.258	2.15	0.5
0.061611	0	0	1	0.259	0.259	2.15	0.5
0.061458	0	0	1	0.26	0.26	2.15	0.5
0.061315	0	0	1	0.261	0.261	2.15	0.5
0.061196	0	0	1	0.262	0.262	2.15	0.5
0.061078	0	0	1	0.263	0.263	2.15	0.5
0.06096	0	0	1	0.264	0.264	2.15	0.5
0.060841	0	0	1	0.265	0.265	2.15	0.5
0.060723	0	0	1	0.266	0.266	2.15	0.5
0.060605	0	0	1	0.267	0.267	2.15	0.5
0.060486	0	0	1	0.268	0.268	2.15	0.5
0.060368	0	0	1	0.269	0.269	2.15	0.5
0.060249	0	0	1	0.27	0.27	2.15	0.5
0.060131	0	0	1	0.271	0.271	2.15	0.5
0.059998	0	0	1	0.272	0.272	2.15	0.5
0.059862	0	0	1	0.273	0.273	2.15	0.5
0.059726	0	0	1	0.274	0.274	2.15	0.5
0.059591	0	0	1	0.275	0.275	2.15	0.5
0.059455	0	0	1	0.276	0.276	2.15	0.5
0.059319	0	0	1	0.277	0.277	2.15	0.5
0.059184	0	0	1	0.278	0.278	2.15	0.5
0.059048	0	0	1	0.279	0.279	2.15	0.5
0.058913	0	0	1	0.28	0.28	2.15	0.5
0.058777	0	0	1	0.281	0.281	2.15	0.5
0.058641	0	0	1	0.282	0.282	2.15	0.5
0.058506	0	0	1	0.283	0.283	2.15	0.5
0.058381	0	0	1	0.284	0.284	2.15	0.5
0.058258	0	0	1	0.285	0.285	2.15	0.5
0.058135	0	0	1	0.286	0.286	2.15	0.5
0.058012	0	0	1	0.287	0.287	2.15	0.5
0.057888	0	0	1	0.288	0.288	2.15	0.5
0.057765	0	0	1	0.289	0.289	2.15	0.5
0.057642	0	0	1	0.29	0.29	2.15	0.5
0.057519	0	0	1	0.291	0.291	2.15	0.5
0.057412	0	0	1	0.292	0.292	2.15	0.5
0.057309	0	0	1	0.293	0.293	2.15	0.5
0.057205	0	0	1	0.294	0.294	2.15	0.5
0.057102	0	0	1	0.295	0.295	2.15	0.5
0.056998	0	0	1	0.296	0.296	2.15	0.5
0.056895	0	0	1	0.297	0.297	2.15	0.5
0.056791	0	0	1	0.298	0.298	2.15	0.5
0.056688	0	0	1	0.299	0.299	2.15	0.5
0.056584	0	0	1	0.3	0.3	2.15	0.5
0.056481	0	0	1	0.301	0.301	2.15	0.5
0.056377	0	0	1	0.302	0.302	2.15	0.5
0.056274	0	0	1	0.303	0.303	2.15	0.5
0.05617	0	0	1	0.304	0.304	2.15	0.5
0.056067	0	0	1	0.305	0.305	2.15	0.5
0.055963	0	0	1	0.306	0.306	2.15	0.5
0.05586	0	0	1	0.307	0.307	2.15	0.5
0.055756	0	0	1	0.308	0.308	2.15	0.5
0.055653	0	0	1	0.309	0.309	2.15	0.5
0.055549	0	0	1	0.31	0.31	2.15	0.5
0.055446	0	0	1	0.311	0.311	2.15	0.5
0.055343	0	0	1	0.312	0.312	2.15	0.5
0.055239	0	0	1	0.313	0.313	2.15	0.5
0.055136	0	0	1	0.314	0.314	2.15	0.5
