time,integral1,integral2,integral3,integral4,integral5,integral6,integral7,integral8,volume1,volume2,volume3,volume4,volume5,volume6,volume7,volume8
0.21,0.0096416517292095,0.0013380587757848,0.003704770657493,0.0027652237755116,0.00045231404958691,0.00045691173978931,0.00048891424646333,0.00051515015957517,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.22,0.0098734727164617,0.0013639098590306,0.0038954591010867,0.0029334681502335,0.00047977418018037,0.00048552520520435,0.00051463355403795,0.00054660444742093,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.23,0.010088884960767,0.0013887869459517,0.0040788593308027,0.0030975594053393,0.00050581668320914,0.00051264920669519,0.00053876293339408,0.00057616849292918,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.24,0.010289392241042,0.001412742347163,0.0042549453151434,0.0032572121348961,0.00053046611577399,0.0005382980704391,0.00056139127245253,0.00060387149638106,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.25,0.010476366972098,0.0014358239904279,0.0044237685567832,0.0034122210911764,0.00055376622081414,0.00056250994383272,0.0005826154378862,0.00062977284798348,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.26,0.010651054305767,0.0014580760012433,0.0045854426232783,0.0035624511448258,0.00057577361705751,0.00058533952162335,0.0006025347227117,0.00065395258572733,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.27,0.010814578971746,0.0014795391725115,0.0047401296890938,0.0037078276868819,0.00059655288817232,0.00060685225834537,0.000621247055041,0.00067650379455496,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.28,0.010967953677902,0.0015002513502366,0.0048880289748029,0.0038483276231955,0.00061617284976892,0.00062711987680535,0.00063884653639846,0.00069752671774485,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.29,0.01111208823528,0.0015202477546618,0.0050293669364274,0.0039839710647919,0.00063470378063926,0.00064621696828588,0.00065542195555505,0.00071712432000028,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.3,0.011247798835491,0.001539561251025,0.0051643890392822,0.0041148137755947,0.00065221542547942,0.00066421848743357,0.0006710559986738,0.00073539904390753,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
