0.18489D+03,0.48876D+02
0.18664D+03,0.49426D+02
0.18838D+03,0.49976D+02
0.19013D+03,0.50525D+02
0.19187D+03,0.51099D+02
0.19361D+03,0.51679D+02
0.19536D+03,0.52460D+02
0.19710D+03,0.52725D+02
0.19885D+03,0.53293D+02
0.20059D+03,0.53860D+02
0.20234D+03,0.54438D+02
0.20408D+03,0.55246D+02
0.20582D+03,0.55804D+02
0.20757D+03,0.56362D+02
0.20931D+03,0.56920D+02
0.21106D+03,0.57479D+02
0.21280D+03,0.58037D+02
0.21455D+03,0.58607D+02
0.21629D+03,0.59180D+02
0.21803D+03,0.59754D+02
0.21978D+03,0.60544D+02
0.22152D+03,0.61147D+02
0.22327D+03,0.61749D+02
0.22501D+03,0.62311D+02
0.22676D+03,0.62933D+02
0.22850D+03,0.63556D+02
0.23024D+03,0.64178D+02
0.23199D+03,0.64800D+02
0.23373D+03,0.65422D+02
0.23548D+03,0.66054D+02
0.23722D+03,0.66679D+02
0.23897D+03,0.66902D+02
0.24071D+03,0.67553D+02
0.24245D+03,0.68205D+02
0.24420D+03,0.68856D+02
0.24594D+03,0.69507D+02
0.24769D+03,0.70159D+02
0.24943D+03,0.70801D+02
0.25118D+03,0.71430D+02
0.25292D+03,0.72059D+02
0.25466D+03,0.72688D+02
0.25641D+03,0.73317D+02
0.25815D+03,0.74015D+02
0.25990D+03,0.74662D+02
0.26164D+03,0.75309D+02
0.26339D+03,0.75956D+02
0.26513D+03,0.76318D+02
0.26687D+03,0.76987D+02
0.26862D+03,0.77656D+02
0.27036D+03,0.78325D+02
0.27211D+03,0.78994D+02
0.27385D+03,0.79663D+02
0.27560D+03,0.80332D+02
0.27734D+03,0.81001D+02
0.27908D+03,0.81670D+02
0.28083D+03,0.82163D+02
0.28257D+03,0.82824D+02
0.28432D+03,0.83486D+02
0.28606D+03,0.84148D+02
0.28781D+03,0.84810D+02
0.28955D+03,0.85645D+02
0.29129D+03,0.86059D+02
0.29304D+03,0.86721D+02
0.29478D+03,0.87383D+02
0.29653D+03,0.87793D+02
0.29827D+03,0.88431D+02
0.30002D+03,0.89069D+02
0.30176D+03,0.89707D+02
0.30350D+03,0.90635D+02
0.30525D+03,0.91266D+02
0.30699D+03,0.91896D+02
0.30874D+03,0.92527D+02
0.31048D+03,0.93157D+02
0.31223D+03,0.93788D+02
0.31397D+03,0.94418D+02
0.31571D+03,0.95049D+02
0.31746D+03,0.95679D+02
0.31920D+03,0.96310D+02
0.32095D+03,0.96941D+02
0.32269D+03,0.97571D+02
0.32444D+03,0.98221D+02
0.32618D+03,0.98851D+02
0.32792D+03,0.99481D+02
0.32967D+03,0.10013D+03
0.33141D+03,0.10077D+03
0.33316D+03,0.10141D+03
0.33490D+03,0.10205D+03
0.33665D+03,0.10260D+03
0.33839D+03,0.10324D+03
0.34013D+03,0.10388D+03
0.34188D+03,0.10451D+03
0.34362D+03,0.10515D+03
0.34537D+03,0.10579D+03
0.34711D+03,0.10642D+03
0.34886D+03,0.10705D+03
0.35060D+03,0.10768D+03
0.35234D+03,0.10831D+03
0.35409D+03,0.10894D+03
0.35583D+03,0.10957D+03
0.35758D+03,0.11020D+03
0.35932D+03,0.11076D+03
0.36107D+03,0.11141D+03
0.36281D+03,0.11202D+03
0.36455D+03,0.11263D+03
0.36630D+03,0.11324D+03
0.36804D+03,0.11386D+03
0.36979D+03,0.11447D+03
0.37153D+03,0.11508D+03
0.37328D+03,0.11569D+03
0.37502D+03,0.11630D+03
0.37676D+03,0.11692D+03
0.37851D+03,0.11753D+03
0.38025D+03,0.11802D+03
0.38200D+03,0.11862D+03
0.38374D+03,0.11923D+03
0.38549D+03,0.11988D+03
0.38723D+03,0.12051D+03
0.38897D+03,0.12115D+03
0.39072D+03,0.12137D+03
0.39246D+03,0.12193D+03
0.39421D+03,0.12248D+03
0.39595D+03,0.12344D+03
0.39770D+03,0.12393D+03
0.39944D+03,0.12442D+03
0.40118D+03,0.12491D+03
0.40293D+03,0.12540D+03
0.40467D+03,0.12589D+03
0.40642D+03,0.12645D+03
0.40816D+03,0.12691D+03
0.40990D+03,0.12738D+03
0.41165D+03,0.12784D+03
0.41339D+03,0.12836D+03
0.41514D+03,0.12880D+03
0.41688D+03,0.12923D+03
0.41863D+03,0.12967D+03
0.42037D+03,0.13010D+03
0.42211D+03,0.13054D+03
0.42386D+03,0.13097D+03
0.42560D+03,0.13141D+03
0.42735D+03,0.13185D+03
0.42909D+03,0.13226D+03
0.43084D+03,0.13264D+03
0.43258D+03,0.13302D+03
0.43432D+03,0.13340D+03
0.43607D+03,0.13378D+03
0.43781D+03,0.13415D+03
0.43956D+03,0.13453D+03
0.44130D+03,0.13491D+03
0.44305D+03,0.13526D+03
