time,intC00,intC01,intC02,intC03,intC04,intC05,intC06,intC07,intC08,intC09,intC10,intC11,intC12,intC13,intC14,intC15,intC16,intC17,intC18,intC19,intC20,intC21,intD00,intD01,intD02,intD03,intD04,intD05,intD06,intD07,intD08,intD09,intD10,intD11,intD12,intD13,intD14,intD15,intD16,intD17,intD18,intD19,intD20,intD21
0.1425,0.12316855995295,0.021717297866475,0.052171247845631,0.010669165591755,0.04628648686825,0.0031236148051053,0.012055109091961,1.2644081247435e-06,1.2644081247435e-06,3.6274962150368e-05,0.00012664472680932,3.5438332351587e-05,1.4945119576534e-05,0.00021329300641654,0.00031318353511771,3.630175606303e-05,0.0001970534378039,6.6146347257429e-05,0.00015235042166368,6.4476558067426e-06,8.6301338632594e-05,8.3091743327397e-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.145,0.12332969032854,0.022352269258019,0.053340384700566,0.011256824099158,0.047410425911079,0.0033154628447024,0.012720911158088,1.5194051584861e-06,1.5194051584861e-06,4.2609336983708e-05,0.00014485304994287,4.1609125182241e-05,1.7310809616866e-05,0.00024297550955472,0.00033650439781571,4.0474934157661e-05,0.0002162075830308,7.4464303595986e-05,0.00016780699126129,7.415411343256e-06,9.6896038330861e-05,9.6808149099368e-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1475,0.12347670762473,0.022984577555835,0.05449257220421,0.011857190420337,0.048521665152035,0.0035131849169543,0.013401375632079,1.8164941395547e-06,1.8164941395547e-06,4.9808470717855e-05,0.00016499137013534,4.8618788191442e-05,1.9964814885254e-05,0.00027562923789699,0.00036051391329011,4.4971971569121e-05,0.00023637451716699,8.3489583858625e-05,0.00018417242250518,8.4944637145241e-06,0.00010834864812369,1.1227704865945e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.15,0.12361080070364,0.02361399565435,0.055627681270408,0.012469738376724,0.049619920395263,0.0037167016087356,0.014095891201376,2.1609457238173e-06,2.1609457238173e-06,5.7952522273637e-05,0.0001871761508574,5.654445181059e-05,2.2930288524909e-05,0.00031140703589038,0.00038516488226072,4.9802727601974e-05,0.00025753339128737,9.3244114607787e-05,0.00020144037286281,9.6931601884761e-06,0.00012067955503681,1.2964704273119e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1525,0.12373306631525,0.024240321360407,0.056745628616057,0.013093934201257,0.050704952032751,0.003925928464857,0.014803835061792,2.5584411798719e-06,2.5584411798719e-06,6.7124242466172e-05,0.00021152195391717,6.5465639317403e-05,2.6230928408175e-05,0.00035045532706227,0.0004104082071566,5.4976261513031e-05,0.00027965802186157,0.00010374708119408,0.0002196000273104,1.1020015012956e-05,0.00013390526136621,1.4907041377611e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.155,0.12384451509021,0.024863375606094,0.057846372495535,0.013729238593822,0.051776561723066,0.0041407764984318,0.015524575586117,3.0150746518682e-06,3.0150746518682e-06,7.7408541124388e-05,0.00023814061104186,7.5463839360435e-05,2.9890876002138e-05,0.00039291284544857,0.00043619331105745,6.0500788737648e-05,0.00030271716179631,0.00011501472982381,0.00023863621086871,1.2483674889782e-05,0.00014803818693821,1.7070233525911e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1575,0.12394607730043,0.025483000725944,0.058929908691612,0.014375108659513,0.052834589220226,0.0043611526777894,0.016257474864756,3.5373523221813e-06,3.5373523221813e-06,8.8892014611082e-05,0.00026714040777421,8.662204106202e-05,3.393461074303e-05,0.00043890942795646,0.00046246854396916,6.6383644401037e-05,0.00032667481689735,0.00012706019986444,0.00025852954199124,1.4092883036535e-05,0.00016308651579614,1.9470002843979e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.16,0.12403860837304,0.026099058805576,0.059996266761327,0.015030999729391,0.053878909357135,0.0045869603893632,0.017001891112268,4.132188401626e-06,4.132188401626e-06,0.00010166243909165,0.00029862528934379,9.9024237043123e-05,3.8386841126088e-05,0.00048856488265858,0.00048918157248637,7.2631254092744e-05,0.0003514906011812,0.00013989338794762,0.00027925662294517,1.585644217005e-05,0.00017905408842029,2.2122187578848e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1625,0.12412289414781,0.026711430106932,0.061045506532959,0.015696367064221,0.054909429185871,0.0048180998762818,0.017757180935255,4.8068979210146e-06,4.8068979210146e-06,0.00011580823547308,0.00033269409765545,0.00011275490025334,4.3272393729733e-05,0.00054198794649425,0.00051627974955842,7.924911179223e-05,0.00037712012428657,0.00015352084487114,0.00030079026300245,1.7783176747406e-05,0.00019594033980167,2.504265006675e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.165,0.12419965587207,0.027320011573561,0.062077714848205,0.016370667442342,0.055926085275335,0.0050544686526497,0.018522701458554,5.5691863440903e-06,5.5691863440903e-06,0.00013141791238642,0.00036943984788141,0.00012789844090751,4.8616101383399e-05,0.00059927534414889,0.00054371046171735,8.624176475359e-05,0.00040351540420088,0.00016794570575532,0.00032309973003866,1.9881894797158e-05,0.00021374028294274,2.82471823279e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1675,0.12426955493077,0.027924715417969,0.063093002542105,0.017053360633388,0.05692884116519,0.0052959618937125,0.019297812308013,6.4271360672227e-06,6.4271360672227e-06,0.00014857949390877,0.00040894905237183,0.00014453865012152,5.4442691658596e-05,0.00066051095804083,0.00057142145173667,9.3612805088225e-05,0.00043062529861268,0.00018316765338788,0.00034615102601498,2.2161349666103e-05,0.00023244453666408,3.1751410306507e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.17,0.12433319731212,0.028525467791802,0.064091501651987,0.017743910760068,0.057917684973747,0.0055424728022822,0.020081877449372,7.3891899147824e-06,7.3891899147824e-06,0.00016737993891344,0.00045130109873068,0.00016275813700172,6.0776676814689e-05,0.00072576511741078,0.00059936111525947,0.00010136486772582,0.00045839594841128,0.00019918291420229,0.00036990718178645,2.4630201995434e-05,0.00025203939596461,3.5570697775556e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1725,0.12439113781165,0.029122207538591,0.065073362845739,0.018441787550613,0.058892627156398,0.0057938929519364,0.020874266883861,8.4641317799921e-06,8.4641317799921e-06,0.00018790455899791,0.00049656768796315,0.00018263776597633,6.7642246266697e-05,0.00079509401252806,0.00062747877045773,0.00010949963438602,0.00048677122716389,0.0002159842858856,0.00039432856672907,2.729698222516e-05,0.00027250694262372,3.9720050910572e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
