"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.047297	24563	24563	1	0.215	0.215	2.15	0.5
0.047296	24625	24625	1	0.216	0.216	2.15	0.5
0.047296	24666	24666	1	0.217	0.217	2.15	0.5
0.047296	24672	24672	1	0.218	0.218	2.15	0.5
0.047296	24677	24677	1	0.219	0.219	2.15	0.5
0.047296	24682	24682	1	0.22	0.22	2.15	0.5
0.047296	24688	24688	1	0.221	0.221	2.15	0.5
0.047296	24693	24693	1	0.222	0.222	2.15	0.5
0.047296	24698	24698	1	0.223	0.223	2.15	0.5
0.047296	24704	24704	1	0.224	0.224	2.15	0.5
0.047296	24709	24709	1	0.225	0.225	2.15	0.5
0.047221	26805	26805	1	0.226	0.226	2.15	0.5
0.047138	29130	29130	1	0.227	0.227	2.15	0.5
0.047055	31456	31456	1	0.228	0.228	2.15	0.5
0.04697	33594	33594	1	0.229	0.229	2.15	0.5
0.046873	34594	34594	1	0.23	0.23	2.15	0.5
0.046775	35584	35584	1	0.231	0.231	2.15	0.5
0.046678	36573	36573	1	0.232	0.232	2.15	0.5
0.04658	37562	37562	1	0.233	0.233	2.15	0.5
0.046483	38552	38552	1	0.234	0.234	2.15	0.5
0.046385	39579	39579	1	0.235	0.235	2.15	0.5
0.046287	40604	40604	1	0.236	0.236	2.15	0.5
0.04619	41629	41629	1	0.237	0.237	2.15	0.5
0.046092	42654	42654	1	0.238	0.238	2.15	0.5
0.045994	43680	43680	1	0.239	0.239	2.15	0.5
0.045897	44705	44705	1	0.24	0.24	2.15	0.5
0.045799	45730	45730	1	0.241	0.241	2.15	0.5
0.045701	46755	46755	1	0.242	0.242	2.15	0.5
0.045604	47780	47780	1	0.243	0.243	2.15	0.5
0.045507	48483	48483	1	0.244	0.244	2.15	0.5
0.045414	48488	48488	1	0.245	0.245	2.15	0.5
0.045326	48492	48492	1	0.246	0.246	2.15	0.5
0.045238	48497	48497	1	0.247	0.247	2.15	0.5
0.04515	48502	48502	1	0.248	0.248	2.15	0.5
0.045062	48507	48507	1	0.249	0.249	2.15	0.5
0.044974	48512	48512	1	0.25	0.25	2.15	0.5
0.044886	48517	48517	1	0.251	0.251	2.15	0.5
0.044799	48522	48522	1	0.252	0.252	2.15	0.5
0.044711	48527	48527	1	0.253	0.253	2.15	0.5
0.044623	48531	48531	1	0.254	0.254	2.15	0.5
0.044535	48536	48536	1	0.255	0.255	2.15	0.5
0.044447	48541	48541	1	0.256	0.256	2.15	0.5
0.044353	48690	48690	1	0.257	0.257	2.15	0.5
0.044251	49030	49030	1	0.258	0.258	2.15	0.5
0.044149	49369	49369	1	0.259	0.259	2.15	0.5
0.044047	49709	49709	1	0.26	0.26	2.15	0.5
0.043944	50049	50049	1	0.261	0.261	2.15	0.5
0.043841	50388	50388	1	0.262	0.262	2.15	0.5
0.04374	50465	50465	1	0.263	0.263	2.15	0.5
0.043645	50123	50123	1	0.264	0.264	2.15	0.5
0.043549	49780	49780	1	0.265	0.265	2.15	0.5
0.043457	49199	49199	1	0.266	0.266	2.15	0.5
0.04337	48304	48304	1	0.267	0.267	2.15	0.5
0.043283	47408	47408	1	0.268	0.268	2.15	0.5
0.043197	46513	46513	1	0.269	0.269	2.15	0.5
0.04311	45617	45617	1	0.27	0.27	2.15	0.5
0.043023	44722	44722	1	0.271	0.271	2.15	0.5
0.042936	43826	43826	1	0.272	0.272	2.15	0.5
0.042849	42931	42931	1	0.273	0.273	2.15	0.5
0.042763	41876	41876	1	0.274	0.274	2.15	0.5
0.042677	40737	40737	1	0.275	0.275	2.15	0.5
0.042591	39598	39598	1	0.276	0.276	2.15	0.5
0.042505	38460	38460	1	0.277	0.277	2.15	0.5
0.042419	37321	37321	1	0.278	0.278	2.15	0.5
0.042333	36182	36182	1	0.279	0.279	2.15	0.5
0.042251	35725	35725	1	0.28	0.28	2.15	0.5
0.042171	35727	35727	1	0.281	0.281	2.15	0.5
0.042087	35786	35786	1	0.282	0.282	2.15	0.5
0.042003	35848	35848	1	0.283	0.283	2.15	0.5
0.041919	35910	35910	1	0.284	0.284	2.15	0.5
0.041835	35971	35971	1	0.285	0.285	2.15	0.5
0.041752	36033	36033	1	0.286	0.286	2.15	0.5
0.041668	36095	36095	1	0.287	0.287	2.15	0.5
0.041589	36108	36108	1	0.288	0.288	2.15	0.5
0.041512	36108	36108	1	0.289	0.289	2.15	0.5
0.041434	36108	36108	1	0.29	0.29	2.15	0.5
0.041357	36108	36108	1	0.291	0.291	2.15	0.5
0.04128	36108	36108	1	0.292	0.292	2.15	0.5
0.041203	36108	36108	1	0.293	0.293	2.15	0.5
0.041126	36108	36108	1	0.294	0.294	2.15	0.5
0.041049	36108	36108	1	0.295	0.295	2.15	0.5
0.040972	36108	36108	1	0.296	0.296	2.15	0.5
0.040895	36108	36108	1	0.297	0.297	2.15	0.5
0.040818	36108	36108	1	0.298	0.298	2.15	0.5
0.040741	36108	36108	1	0.299	0.299	2.15	0.5
0.040665	36108	36108	1	0.3	0.3	2.15	0.5
0.040588	36107	36107	1	0.301	0.301	2.15	0.5
0.040512	36107	36107	1	0.302	0.302	2.15	0.5
0.040435	36106	36106	1	0.303	0.303	2.15	0.5
0.040358	36106	36106	1	0.304	0.304	2.15	0.5
0.040284	36106	36106	1	0.305	0.305	2.15	0.5
0.040215	36105	36105	1	0.306	0.306	2.15	0.5
0.040146	36105	36105	1	0.307	0.307	2.15	0.5
0.040077	36105	36105	1	0.308	0.308	2.15	0.5
0.040008	36105	36105	1	0.309	0.309	2.15	0.5
0.039938	36118	36118	1	0.31	0.31	2.15	0.5
0.039859	36361	36361	1	0.311	0.311	2.15	0.5
0.03978	36604	36604	1	0.312	0.312	2.15	0.5
0.039712	36746	36746	1	0.313	0.313	2.15	0.5
0.039651	36821	36821	1	0.314	0.314	2.15	0.5
0.03959	36896	36896	1	0.315	0.315	2.15	0.5
0.039529	36970	36970	1	0.316	0.316	2.15	0.5
0.039468	37045	37045	1	0.317	0.317	2.15	0.5
0.039407	37119	37119	1	0.318	0.318	2.15	0.5
0.039346	37194	37194	1	0.319	0.319	2.15	0.5
0.039285	37269	37269	1	0.32	0.32	2.15	0.5
0.039223	37392	37392	1	0.321	0.321	2.15	0.5
0.039159	37542	37542	1	0.322	0.322	2.15	0.5
0.039095	37691	37691	1	0.323	0.323	2.15	0.5
0.039031	37841	37841	1	0.324	0.324	2.15	0.5
0.038967	37991	37991	1	0.325	0.325	2.15	0.5
0.038903	38141	38141	1	0.326	0.326	2.15	0.5
0.038839	38291	38291	1	0.327	0.327	2.15	0.5
0.038775	38446	38446	1	0.328	0.328	2.15	0.5
0.03871	38612	38612	1	0.329	0.329	2.15	0.5
