time,integral1,integral2,integral3,integral4,integral5,integral6,integral7,integral8,volume1,volume2,volume3,volume4,volume5,volume6,volume7,volume8
0.1,0.0055812755019195,0.00082225793481257,0.0024029099569257,0.0011213610349549,8.9575263690045e-05,0.00010738761033224,9.8755727794042e-05,8.1213708067961e-05,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.11,0.0061591204876895,0.00085584641551144,0.0028257348236756,0.0013577169378341,0.00012438840167812,0.00014798670070129,0.00013607798720383,0.00011427081800644,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.12,0.0067032139113112,0.00088749906196037,0.0032438330855785,0.0016061849109838,0.00016433085749461,0.00019379902049252,0.00017807409480541,0.00015301487470464,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.13,0.007211073936409,0.00091753279143177,0.0036501043872396,0.0018632093113891,0.00020825296525226,0.00024324346863266,0.0002231795401022,0.00019658288332687,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.14,0.007681873653388,0.00094618965272802,0.0040391992452232,0.0021252970203911,0.00025488325795183,0.00029469016208859,0.00026977344985978,0.00024391590408381,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.15,0.0081160760982514,0.00097365869870624,0.0044074159073771,0.0023891540300115,0.00030297154031057,0.00034664940170344,0.00031637567686208,0.00029387666690018,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.16,0.0085150550697022,0.0010000901970752,0.0047524942803146,0.0026517974559747,0.00035138871751686,0.00039788555456434,0.00036177377220855,0.00034534231965613,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.17,0.0088807649226875,0.0010256052285803,0.0050733624667384,0.0029106341068108,0.00039918262096636,0.00044746001428483,0.00040507800190596,0.00039726914883712,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.18,0.0092154842582334,0.0010503024173889,0.0053698785662253,0.0031635038519647,0.00044559799738707,0.00049472146157663,0.00044571814051086,0.00044873272211872,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.19,0.0095216328945516,0.0010742628123598,0.0056425940376896,0.0034086908990092,0.00049007182932298,0.00053926535903612,0.00048340217275876,0.00049894922148233,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.2,0.0098016490922713,0.0010975535287537,0.0058925509154486,0.0036449089085229,0.00053221432357015,0.00058088151888448,0.0005180564848122,0.00054728341120309,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.21,0.010057910938412,0.0011202305265166,0.0061211156946987,0.0038712670085288,0.00057178337765394,0.00061950258946167,0.00054976275304716,0.00059324734179855,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.22,0.010292687742577,0.0011423407658898,0.0063298475442023,0.0040872236615665,0.00060865759610018,0.00065516027757001,0.00057870121841579,0.00063649256819635,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.23,0.010508110999742,0.001163923900781,0.0065203964219107,0.0042925344452633,0.00064281071340198,0.00068795153292919,0.00060510507614959,0.00067679777494506,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.24,0.010706158051225,0.0011850136211924,0.0066944263272328,0.0044871985390208,0.0006742887786947,0.00071801413127846,0.00062922707918347,0.00071405325619028,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.25,0.010888644263574,0.0012056387247812,0.0068535593296223,0.0046714073733491,0.00070319056990616,0.00074550982797946,0.00065131724926775,0.00074824352130242,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.26,0.011057221252665,0.001225823976927,0.0069993365996756,0.0048454976888337,0.00072965124213044,0.00077061300741105,0.0006716095579977,0.00077942920719782,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.27,0.011213379619341,0.0012455908043478,0.0071331931977061,0.0050099102627002,0.00075382900087567,0.00079350304154889,0.0006903152108406,0.00080772936017364,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.28,0.011358455114002,0.0012649578569892,0.0072564437982438,0.0051651548140766,0.00077589450355731,0.00081435904369883,0.00070762039590554,0.0008333049634662,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.29,0.011493637344938,0.0012839414652457,0.0073702768779714,0.005311781073458,0.00079602266246546,0.00083335615767268,0.00072368678646062,0.00085634434452674,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.3,0.011619980243251,0.0013025560137371,0.0074757552117832,0.0054503556580851,0.00081438651667811,0.00085066287165486,0.00073865354706429,0.00087705083462261,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.31,0.011738413577723,0.0013208142483511,0.007573820833273,0.0055814441903448,0.00083115284684667,0.00086643907483078,0.00075264000028647,0.00089563281041615,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.32,0.011849754907296,0.0013387275297418,0.0076653029281902,0.0057055979930917,0.00084647922210924,0.00088083470416391,0.00076574843057592,0.000912296049283,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.33,0.01195472146987,0.0013563060437026,0.0077509274347607,0.0058233446636895,0.00086051219158336,0.00089398888986983,0.00077806673169512,0.00092723818960147,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.34,0.012053941624766,0.0013735589766599,0.0078313274104687,0.0059351818445786,0.00087338636261346,0.00090602952994336,0.00078967075739284,0.00094064500402655,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
